[04-Apr-2019 19:32:09 Europe/Berlin] PHP Notice:  Undefined variable: _row in C:\Users\smile\Desktop\Code\Html\ManaSystem\login.php on line 14
[04-Apr-2019 19:35:59 Europe/Berlin] PHP Notice:  Undefined variable: _row in C:\Users\smile\Desktop\Code\Html\ManaSystem\login.php on line 14
[05-Apr-2019 08:56:53 Europe/Berlin] PHP Warning:  include(): Filename cannot be empty in C:\Users\smile\Desktop\Code\Html\ManaSystem\stu_func_control.php on line 4
[05-Apr-2019 08:56:53 Europe/Berlin] PHP Warning:  include(): Failed opening '' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\stu_func_control.php on line 4
[05-Apr-2019 08:56:53 Europe/Berlin] PHP Fatal error:  Uncaught Error: Call to undefined function table_echo() in C:\Users\smile\Desktop\Code\Html\ManaSystem\stu_func_control.php:37
Stack trace:
#0 C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary.php(68): include()
#1 {main}
  thrown in C:\Users\smile\Desktop\Code\Html\ManaSystem\stu_func_control.php on line 37
[05-Apr-2019 09:01:04 Europe/Berlin] PHP Fatal error:  Uncaught Error: Call to undefined function table_echo() in C:\Users\smile\Desktop\Code\Html\ManaSystem\stu_func_control.php:27
Stack trace:
#0 C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary.php(68): include()
#1 {main}
  thrown in C:\Users\smile\Desktop\Code\Html\ManaSystem\stu_func_control.php on line 27
[05-Apr-2019 16:21:49 PRC] PHP Warning:  include(header.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\student.php on line 8
[05-Apr-2019 16:21:49 PRC] PHP Warning:  include(): Failed opening 'header.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\student.php on line 8
[05-Apr-2019 16:23:12 PRC] PHP Notice:  Undefined index: account in C:\Users\smile\Desktop\Code\Html\ManaSystem\login.php on line 3
[05-Apr-2019 16:23:12 PRC] PHP Notice:  Undefined index: passwd in C:\Users\smile\Desktop\Code\Html\ManaSystem\login.php on line 4
[05-Apr-2019 16:26:07 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\s_topic.php on line 2
[05-Apr-2019 16:26:07 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\s_topic.php on line 2
